uid,title,genre,popularity,ranked,score
28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",141,25.0,8.82
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",28,24.0,8.83
34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",98,23.0,8.83
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",4,1.0,9.23
31758,Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",502,22.0,8.83
37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",176,21.0,8.89
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",40,20.0,8.9
38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",106,19.0,8.92
35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",573,18.0,8.93
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",27,17.0,8.93
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",223,16.0,8.94
34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",800,15.0,8.94
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",833,14.0,8.95
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",97,13.0,8.97
4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",64,12.0,8.97
15417,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",667,11.0,8.98
30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",5,50.0,8.68
16664,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",1106,250.0,8.28
4672,Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",1457,500.0,8.06
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",2428,750.0,7.88
7588,Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",1650,800.0,7.86
1253,Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",2409,799.0,7.86
20767,Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",539,798.0,7.86
1425,Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",3237,796.0,7.86
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Comedy', 'Fantasy']",1238,794.0,7.86
22673,Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']",2263,795.0,7.86
6862,K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",1082,793.0,7.86
5680,K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']",90,792.0,7.86
451,InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1527,791.0,7.86
9563,Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']",4073,790.0,7.86
30364,Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2698,789.0,7.86
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",3141,788.0,7.86
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",4041,787.0,7.86
27633,Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']",1233,786.0,7.86
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Action', 'Military', 'Adventure', 'Fantasy']",297,785.0,7.86
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']",1216,784.0,7.86
552,Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",356,783.0,7.86
1689,Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",108,781.0,7.86
8609,Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",3969,782.0,7.86
34944,Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",1448,780.0,7.86
36214,Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",2426,779.0,7.86
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']",2435,778.0,7.86
36160,Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']",5659,777.0,7.87
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",3747,776.0,7.87
2265,Transformers the Movie,"['Action', 'Mecha']",4133,775.0,7.87
11001,Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",3495,774.0,7.87
39940,Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']",683,773.0,7.87
322,Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",916,772.0,7.87
38958,Manga de Wakaru! Fate/Grand Order,['Comedy'],4889,770.0,7.87
4472,Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",1056,769.0,7.87
97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']",810,768.0,7.87
468,Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",929,767.0,7.87
7645,Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']",3162,763.0,7.87
3604,Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']",2855,764.0,7.87
1491,Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",3080,761.0,7.87
19319,Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']",1890,762.0,7.87
1571,Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",630,760.0,7.87
35222,Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",1171,759.0,7.87
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",4732,758.0,7.87
269,Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",25,757.0,7.87
30123,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",289,756.0,7.87
