profile,favorites_anime
DesolatePsyche,"['33352', '25013', '5530', '33674', '1482', '269', '18245', '2904', '27899', '17074', '12291', '226', '28851', '8525', '6594', '4981', '1698', '457', '235', '34618']"
baekbeans,"['11061', '31964', '853', '20583', '918', '9253', '34599', '3588', '13601', '6956']"
skrn,"['918', '2904', '11741', '17074', '23273', '32281', '9989', '1943', '512']"
edgewalker00,"['5680', '849', '2904', '3588', '37349']"
aManOfCulture99,"['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']"
eneri,"['5114', '4898', '2904', '1575', '1482']"
Waffle_Empress,"['338', '322', '440', '199', '28223', '12815', '2800', '18679', '387', '8129']"
NIGGER_BONER,"['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']"
jchang,"['846', '2904', '5114', '2924', '72']"
shadowsplat,[]
angelsreview,"['534', '71', '7724', '861', '5060', '853']"
CalebTheMenace,"['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']"
Kiethol,[]
Eanki,"['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']"
NekoKyupi,"['34599', '4181', '9756', '32949', '30654', '28851']"
12sed,"['30', '16201', '22135']"
OVERPOWERED99,"['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']"
MrAnimeCrunch,[]
JoJo_Stalin,"['1050', '227', '1921', '1029', '18679']"
Kaishuu,"['27899', '1535', '2167', '22319']"
Rigas,"['1535', '20583', '14813', '3972', '11843', '30831', '482', '1565', '1575', '19291']"
BenBaneki,[]
SakuraSan628,"['232', '8129', '7791', '10460', '18507']"
blackfaith89,"['9253', '4181', '2167']"
Leyvon,"['1735', '1575', '226', '1535', '2167']"
Sime3134,"['4181', '9989', '8425', '27899', '1889']"
desinoh,['10620']
GinKagu,"['918', '2904', '4181', '9989']"
Itaku,['10049']
Lucryllin,"['177', '861', '66', '2167', '4181']"
SieghartTheMage,"['9253', '2904', '13601', '11741', '5114', '1', '136', '1535', '245', '1482']"
ggultra2764,"['512', '7193', '165', '440', '634']"
0Seru0,"['7661', '582', '33', '2904', '1425', '1453', '1608', '22687', '21', '1470']"
BowlingJD,"['21', '235', '19', '302', '90', '474', '1453']"
gwern,[]
greatyu,"['20', '21', '918', '11061', '934', '13125']"
Arbogast,[]
Slushpuppy282,"['407', '3588', '177', '1604', '269']"
mattpointon77,"['59', '205', '513', '1029', '1279', '7465', '6802', '34537', '7785', '7588']"
yolerMit,"['7724', '2246', '457', '8475', '7588']"
Abeyant,"['35839', '457', '7785', '35079', '34599', '5114', '22789', '13125', '12355', '9253']"
SamuraiSteve,"['7588', '3701', '1', '43', '22135', '33983', '339']"
kyojin13,"['31043', '28891', '33486', '22135', '245', '268', '12531']"
HybridMedia,"['1016', '1292', '205', '47', '1']"
eyerok,"['820', '457', '205', '467', '1', '22135', '1030', '601', '283', '44']"
patrickRos,"['457', '486', '239']"
shadowfireflame,"['853', '121', '18507', '4898', '3655']"
SerpentineJ,"['19', '918', '9941', '32962', '24439', '24405', '3655', '28223', '31157', '2246']"
tinypinkghostie,"['23289', '1412', '11843', '32281', '35062']"
stonnyfor,"['1412', '81', '205', '1', '2001', '33', '392', '31933']"
BabyGirl06301,"['20', '18507', '18689', '20583', '11771', '31964', '20507', '5114', '10800', '28171']"
ToastytheBaker,['23847']
ImTheRhetorician,"['269', '5958', '7724', '1735']"
zabadoh,[]
Eoussama,"['37510', '4181', '21', '2035']"
Aphyxia,"['1575', '2904', '934', '4654', '5081']"
Shirayukishi,"['20', '877', '19', '4081', '12531', '12355']"
Creeperface,[]
ParaParaJMo,"['1362', '263', '81', '2402', '85', '37991']"
ChouEritto,"['820', '2921', '32', '30', '5114', '2402', '33', '1210', '10937', '338']"
Yakarin,"['4081', '1524', '457', '477', '3345', '33352', '31964', '22789', '21', '20507']"
Paulwillson26,"['44', '5177', '256', '387', '9253']"
Eneko-chan,"['2164', '153', '584', '60', '182']"
Lima-Sama,"['21', '223', '20', '11061']"
Algirdyz,"['820', '26', '457', '32', '875']"
Baconzombie,"['3297', '820', '19', '387', '1827', '457', '2251', '467', '5114', '329']"
skankfish,[]
AlexJetski,"['14719', '820', '7785', '26', '10721', '9996', '31646', '10087', '3002', '2559']"
steampunkvillain,"['9253', '7588', '790']"
IceAndCream,"['5114', '5530', '2158', '1827', '7588']"
BienAgiter,"['2904', '4181', '5114', '3784', '6594']"
bleeb,"['431', '114', '1205', '3326']"
Jolon,"['39071', '444', '7588', '2942', '3297', '820']"
Seabury,"['30', '440', '199', '514', '572', '34522']"
Fleure,"['440', '3297', '457', '22135', '877']"
Jodyqt,"['2828', '2402', '801', '795', '2623', '820', '2257', '283', '2001', '10721']"
Lindle,"['820', '7785', '1', '22135', '43', '585', '7588', '25835', '2921', '32']"
ZephSilver,"['790', '285', '570', '1299', '239', '457', '801', '1025', '543', '885', '820', '19', '634', '949', '205', '7588', '455', '877', '1029', '283']"
Mimi_Taylor,"['12029', '820', '2158', '455', '97', '584', '5074', '19', '523', '2154']"
Detective,"['32', '199', '4224', '19', '7785', '31933', '849', '6774', '7062', '36817', '9756']"
sillikorae,['4181']
InsaneMooseCat,"['11617', '13759', '12467', '4744', '857']"
theillusionary,"['1530', '4181', '2167']"
Jakerams,"['193', '7674', '5941', '34822', '3455', '10800', '3731', '12531', '16067', '10460', '24405', '2129', '125', '34934', '1555', '355', '237', '257', '6114', '31710']"
showandAG,"['5114', '205', '245', '1575', '4181', '16498', '889', '813', '33', '1530']"
xScHeiZe,"['4181', '9253', '30276', '34599', '37779']"
ChildHatchling,"['9213', '2787', '355', '8407']"
Lohuydahutt,"['17074', '6594', '12189', '7785', '35180', '437', '37999', '23847', '9253', '820']"
Victor_Lighty,"['1535', '1889', '934', '4181', '2167']"
Vedan,"['813', '31051', '28907', '13759', '11771', '2167', '30694', '12413']"
TabiNoTochuu,"['4789', '2924', '5341', '6547', '4181']"
AlexanderMaya,"['32182', '35557', '59', '33003', '20853', '1041', '37991', '1735', '513', '885']"
LoveArrowShooto,"['4181', '7791', '15051', '30296', '21327', '25519', '14289', '1530', '13655', '28171']"
For_Reign,"['249', '20507', '2966', '7724', '10372', '813', '31964', '22297', '10087']"
vanmarckestevy,"['26', '457', '43', '339', '227', '16664']"
BTDee,"['23755', '16067', '16498', '34572', '8074', '39533', '35790', '18115', '11665']"
Asasphinx,"['232', '66', '77', '934', '4282', '7311', '9253', '14131', '18679', '4087']"
LegendAqua,"['32843', '2787', '2001', '37991', '13601', '232', '31988', '10087', '9253', '10278']"
